RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0,SeriesRank,SeriesPoints
100465077,502,Novice 7th Grade Male,Merrell,3,Beginner,7,19,1186.22,1333.41,1431.97,1319.2,3957.6,50717.13,34,412
100465627,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,15,2042.52,2494.25,,2270.36,4540.72,54900,13,924
100466244,503,Novice 6th Grade Male,Merrell,3,Beginner,6,14,1221.08,1241.16,1316.14,1260.67,3782.03,51015.44,24,893
100466536,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,12,1398.98,1603.23,,1502.61,3005.23,54299.1,9,991
100466799,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,19,1383.42,1487.35,,1440.53,2881.06,54600.72,17,890
100466805,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,47,1761.12,,,1769.12,1769.12,57600.63,35,651
100466876,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,5,1190.59,1262.34,,1227.81,2455.63,54600.72,3,1105
100468030,402,Novice 6-8th Grade Female,Merrell,3,Beginner,7,21,1391.62,1486.05,1405.35,1428.99,4286.97,47100.48,36,206
100468031,702,Elementary 5th Grade Female,Merrell,2,Beginner,6,17,2208.1,2103.38,,2158.14,4316.28,54299.1,19,180
100468297,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,23,1511.02,,,1514.65,1514.65,57600.63,13,799
100468391,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,12,1254.78,1477.02,,1368.22,2736.44,53999.6,10,970
100468400,802,Elementary 2nd-3rd Grade Female,Merrell,1,Beginner,3,3,1451.19,,,1452.85,1452.85,57900.82,3,961
100468821,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,25,1512.85,,,1519.59,1519.59,57600.63,21,751
100468882,502,Novice 7th Grade Male,Merrell,3,Beginner,7,3,1090.57,1108.26,1083.14,1094.76,3284.28,50717.13,3,1358
100469136,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,2,1232,1280.74,,1257.92,2515.85,54900,3,1120
100469227,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,12,1739.82,1835.25,,1790.3,3580.61,54900,19,191
100470505,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,7,1012.91,1097.11,1183.03,1098.44,3295.33,43410.61,9,1390
100471264,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,27,1842.83,1981.94,,1915.65,3831.31,38129.11,46,540
100471656,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,18,1406.42,1534.11,,1473.08,2946.16,53999.6,27,178
100472150,402,Novice 6-8th Grade Female,Merrell,3,Beginner,7,8,1148.07,1236.03,1193.02,1193.67,3581.03,47100.48,10,1186
100472217,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,4,1275.06,1348.01,,1312.48,2624.96,54299.1,4,1070
100472218,802,Elementary 2nd-3rd Grade Female,Merrell,1,Beginner,2,11,1565.31,,,1568.59,1568.59,57900.82,12,776
