RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0
100394484,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,2,1663.02,1678.57,,1672.09,3344.19,38253.83
100394577,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,3,1697.75,1724.16,,1711.61,3423.23,38253.83
100413712,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,4,1698.35,1732.31,,1716.9,3433.8,38253.83
100394480,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,5,1698.73,1776.94,,1738.57,3477.14,38253.83
100462383,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,6,1699.08,1806.14,,1754.09,3508.19,38253.83
100443688,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,7,1705.41,1875.71,,1791.57,3583.15,38253.83
100522410,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,8,1707.31,1882.18,,1796.86,3593.72,38253.83
100522909,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,9,1768.06,1833.87,,1803.49,3606.98,38253.83
100512751,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,10,1776.92,1862.26,,1820.28,3640.57,38253.83
100479183,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,11,1811.94,1838.87,,1827.75,3655.5,38253.83
100394576,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,12,1794.62,1874.89,,1836.06,3672.12,38253.83
100487645,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,13,1786.18,1915.37,,1851.33,3702.66,38253.83
100464983,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,14,1831.65,1874.61,,1855.32,3710.65,38253.83
100458526,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,15,1837.95,1873.74,,1857.44,3714.89,38253.83
100394591,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,16,1873.53,1908.2,,1892.89,3785.79,38253.83
100418126,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,17,1821.5,1960.75,,1892.91,3785.82,38253.83
100418997,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,18,1872.01,1914.34,,1895.82,3791.65,38253.83
100393764,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,19,1852.74,1976.68,,1915.48,3830.96,38253.83
100512552,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,20,1874.47,1966.37,,1922.49,3844.98,38253.83
100394524,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,21,1911.43,1935.74,,1926.11,3852.22,38253.83
100493625,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,22,1873.11,1978.3,,1927.01,3854.02,38253.83
100563825,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,23,1885.39,2026.31,,1958.09,3916.18,38253.83
100418320,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,24,1983.24,1947.04,,1967.6,3935.21,38253.83
100394556,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,25,1970.24,1981.28,,1978.05,3956.1,38253.83
100394558,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,26,1970.73,1981.32,,1978.36,3956.73,38253.83
100511636,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,27,1970.87,2037.83,,2006.8,4013.61,38253.83
100455938,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,28,1974.29,2064.09,,2020.93,4041.86,38253.83
100513583,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,29,2056.51,2254.45,,2158.53,4317.07,38253.83
100395193,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,-1,,,,,,37805.5
100456840,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,-1,,,,,,37805.5
100418232,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,-1,1663.84,2575.6,,2120.76,4241.53,37805.5
100395185,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,-1,1790.8,,,1795,1795,37805.5
100395145,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,1,1581.38,1574.81,,1579.06,3158.12,37805.5
100477904,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,2,1581.19,1576.1,,1579.22,3158.45,37805.5
100393707,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,3,1581.78,1639.94,,1611.42,3222.85,37805.5
100393702,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,4,1586.51,1647.18,,1617.38,3234.76,37805.5
100507650,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,5,1596.95,1669.54,,1634.92,3269.85,37805.5
100393698,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,6,1630.23,1713.23,,1673.5,3347.01,37805.5
100394896,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,7,1640.07,1718.39,,1681.15,3362.31,37805.5
100393700,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,8,1632.41,1734.42,,1684.14,3368.29,37805.5
100577232,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,9,1701.79,1663.29,,1684.71,3369.42,37805.5
100395172,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,10,1701.11,1738.24,,1720.98,3441.96,37805.5
100574942,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,11,1703.82,1746.12,,1727.28,3454.57,37805.5
100394386,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,12,1703.36,1750.76,,1728.07,3456.14,37805.5
100411000,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,13,1694.97,1790.72,,1743.45,3486.91,37805.5
100419990,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,14,1717.16,1770.99,,1746.25,3492.51,37805.5
100394369,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,15,1725.25,1764.47,,1746.9,3493.8,37805.5
100393703,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,16,1787.29,1734.35,,1762.17,3524.34,37805.5
100394428,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,17,1707.27,1867.62,,1788.9,3577.81,37805.5
100395162,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,18,1723.79,1854.5,,1790.7,3581.41,37805.5
100395157,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,19,1769.26,1844.91,,1808.89,3617.79,37805.5
100394358,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,20,1701.69,1913.7,,1809.19,3618.38,37805.5
100535008,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,21,1785.37,1866.33,,1827.89,3655.78,37805.5
100394408,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,22,1726.47,1983.2,,1855.37,3710.75,37805.5
100288663,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,23,1839.41,1912.55,,1878.53,3757.06,37805.5
100494984,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,24,1825.33,1938.83,,1883.93,3767.87,37805.5
100456379,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,25,1890.3,1928.49,,1910.79,3821.59,37805.5
100399874,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,26,1849.21,2004.71,,1929.48,3858.97,37805.5
100524543,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,27,1910.78,1959.1,,1936.01,3872.03,37805.5
100394361,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,28,1891.47,1999.93,,1946.7,3893.4,37805.5
100559672,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,29,1888.82,2006.5,,1950.21,3900.43,37805.5
